country,region,region_code,start_date,end_date,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change
austria,Austria,0,2019-12-30,2020-01-05,2020,1,8902600,1610.0,0.0,1740.7150776051199,-130.715077605117,1610.0,0.0,-1.4682798014638,-0.0750927473926146
austria,Austria,0,2020-01-06,2020-01-12,2020,2,8902600,1702.0,0.0,1781.9878048779801,-79.98780487798442,1702.0,0.0,-0.898476904252515,-0.0448868419071259
austria,Austria,0,2020-01-13,2020-01-19,2020,3,8902600,1797.0,0.0,1744.3514412416198,52.648558758380204,1797.0,0.0,0.591384076094402,0.0301823116108444
austria,Austria,0,2020-01-20,2020-01-26,2020,4,8902600,1779.0,0.0,1716.89689578708,62.103104212924606,1779.0,0.0,0.697583899230838,0.0361717144257836
austria,Austria,0,2020-01-27,2020-02-02,2020,5,8902600,1947.0,0.0,1779.3514412416198,167.64855875838,1947.0,0.0,1.8831415402059999,0.0942189130672217
austria,Austria,0,2020-02-03,2020-02-09,2020,6,8902600,1680.0,0.0,1799.5332594234399,-119.533259423439,1680.0,0.0,-1.3426780875636202,-0.0664245902638869
austria,Austria,0,2020-02-10,2020-02-16,2020,7,8902600,1721.0,0.0,1816.5332594234399,-95.5332594234385,1721.0,0.0,-1.07309392114032,-0.0525909773068292
austria,Austria,0,2020-02-17,2020-02-23,2020,8,8902600,1718.0,0.0,1796.80598669617,-78.8059866961655,1718.0,0.0,-0.885201926360451,-0.0438589292776501
austria,Austria,0,2020-02-24,2020-03-01,2020,9,8902600,1768.0,0.0,1784.6865853657898,-16.6865853657885,1768.0,0.0,-0.187434966928633,-0.00934986876834087
austria,Austria,0,2020-03-02,2020-03-08,2020,10,8902600,1744.0,1.0,1757.0865853657901,-13.086585365789,1743.0,0.0112326736009705,-0.146997341965145,-0.007447888723744691
austria,Austria,0,2020-03-09,2020-03-15,2020,11,8902600,1718.0,15.0,1740.2865853657902,-22.286585365788802,1703.0,0.16849010401455802,-0.250337939094072,-0.0128062731467325
austria,Austria,0,2020-03-16,2020-03-22,2020,12,8902600,1836.0,70.0,1666.18658536579,169.813414634212,1766.0,0.786287152067935,1.9074586596523702,0.10191740596503
austria,Austria,0,2020-03-23,2020-03-29,2020,13,8902600,1764.0,118.0,1662.7865853657902,101.213414634211,1646.0,1.3254554849145201,1.1368972506257902,0.0608697565430178
austria,Austria,0,2020-03-30,2020-04-05,2020,14,8902600,1828.0,146.0,1604.68658536579,223.313414634211,1682.0,1.6399703457416899,2.50840669730429,0.139163258838677
austria,Austria,0,2020-04-06,2020-04-12,2020,15,8902600,1793.0,102.0,1586.2865853657902,206.713414634213,1691.0,1.14573270729899,2.3219443155282002,0.130312779885576
austria,Austria,0,2020-04-13,2020-04-19,2020,16,8902600,1704.0,90.0,1574.38658536579,129.613414634211,1614.0,1.01094062408735,1.4559051808933503,0.0823262951037511
austria,Austria,0,2020-04-20,2020-04-26,2020,17,8902600,1588.0,56.0,1541.48658536579,46.5134146342095,1532.0,0.629029721654348,0.522470004652681,0.0301743882014853
austria,Austria,0,2020-04-27,2020-05-03,2020,18,8902600,1480.0,20.0,1522.7865853657902,-42.7865853657877,1460.0,0.22465347201941002,-0.48060774791395394,-0.0280975586316384
austria,Austria,0,2020-05-04,2020-05-10,2020,19,8902600,1520.0,11.0,1508.38658536579,11.613414634210802,1509.0,0.123559409610676,0.130449695978824,0.0076992295919911
austria,Austria,0,2020-05-11,2020-05-17,2020,20,8902600,1488.0,11.0,1494.38658536579,-6.3865853657875995,1477.0,0.123559409610676,-0.0717384288386269,-0.0042737170075869396
austria,Austria,0,2020-05-18,2020-05-24,2020,21,8902600,1481.0,28.0,1497.38658536579,-16.386585365788502,1453.0,0.314514860827174,-0.18406516484834198,-0.0109434567705744
austria,Austria,0,2020-05-25,2020-05-31,2020,22,8902600,1414.0,4.0,1477.48658536579,-63.4865853657884,1410.0,0.04493069440388201,-0.713124091454052,-0.0429693142358181
austria,Austria,0,2020-06-01,2020-06-07,2020,23,8902600,1490.0,5.0,1491.2865853657902,-1.2865853657886002,1485.0,0.0561633680048525,-0.0144517934736885,-0.000862735156618499
austria,Austria,0,2020-06-08,2020-06-14,2020,24,8902600,1460.0,13.0,1473.7865853657902,-13.7865853657879,1447.0,0.146024756812617,-0.154860213485812,-0.00935453308008372
austria,Austria,0,2020-06-15,2020-06-21,2020,25,8902600,1413.0,12.0,1500.48658536579,-87.4865853657898,1401.0,0.13479208321164599,-0.9827082578773589,-0.0583054765161144
austria,Austria,0,2020-06-22,2020-06-28,2020,26,8902600,1436.0,4.0,1478.88658536579,-42.8865853657869,1432.0,0.04493069440388201,-0.48173101527404294,-0.0289992388802278
austria,Austria,0,2020-06-29,2020-07-05,2020,27,8902600,1560.0,2.0,1507.98658536579,52.013414634212,1558.0,0.022465347201941006,0.584249709458046,0.0344919610949956
austria,Austria,0,2020-07-06,2020-07-12,2020,28,8902600,1383.0,2.0,1467.98658536579,-84.9865853657886,1381.0,0.022465347201941006,-0.95462657387492,-0.0578932983536848
austria,Austria,0,2020-07-13,2020-07-19,2020,29,8902600,1443.0,2.0,1486.0865853657901,-43.08658536578879,1441.0,0.022465347201941006,-0.48397754999425796,-0.0289933209747556
austria,Austria,0,2020-07-20,2020-07-26,2020,30,8902600,1449.0,6.0,1510.2865853657902,-61.2865853657891,1443.0,0.06739604160582299,-0.688412209531924,-0.0405794409879802
austria,Austria,0,2020-07-27,2020-08-02,2020,31,8902600,1521.0,3.0,1514.48658536579,6.513414634212269,1518.0,0.0336980208029115,0.0731630606138911,0.004300741054526379
