country,govt_trust_index
aruba,98.05358095502054
andorra,124.28259196996535
afghanistan,-139.89361897705044
angola,-90.2811755318607
anguilla,73.3948471113957
albania,-12.343065834525035
netherlands antilles (former),18.34584951489693
united arab emirates,56.026612955359994
argentina,-14.15199937461524
armenia,-18.50902931916108
american samoa,61.64798401735194
antigua and barbuda,49.45965542990212
australia,141.56701609356693
austria,133.9394450962212
azerbaijan,-64.94539481014922
burundi,-116.9667611121553
belgium,112.31994268800165
benin,-27.46102897180431
burkina faso,-37.68303674351441
bangladesh,-74.52583327338341
bulgaria,18.884904999934395
bahrain,-3.351812709472961
"bahamas, the",67.5522134343848
bosnia and herzegovina,-31.552253818500294
belarus,-57.32548276302985
belize,-18.779638935390032
bermuda,85.62562054750991
bolivia,-53.93673197827241
brazil,-9.990039784546463
barbados,86.19448733676994
brunei darussalam,52.94808863351356
bhutan,35.91743590256273
botswana,56.331750746745456
central african republic,-131.9702476012655
canada,144.92488643791364
switzerland,157.03909186755567
chile,94.88366893083938
china,-36.45558936846543
côte d'ivoire,-63.056944455364636
cameroon,-89.35291675280745
"congo, rep.",-100.77503233601416
cook islands,-4.538569679878944
colombia,-21.351238841884314
comoros,-81.74828881985641
cape verde,44.758909765043136
costa rica,53.88683905292131
cuba,-45.80333076719791
cayman islands,84.51363729597892
cyprus,81.74344624122367
czech republic,81.61313619960367
germany,134.04020385815633
djibouti,-70.71333404911691
dominica,50.89084484487297
denmark,155.29025581135937
dominican republic,-24.54330912968563
algeria,-75.47170319841784
ecuador,-48.73382414345093
"egypt, arab rep.",-66.54541971265996
eritrea,-133.06360792864777
spain,78.5790607338872
estonia,103.5169121861435
ethiopia,-76.8440477077057
finland,161.10583709724085
fiji,-1.4855897585177387
france,104.70833278089795
"micronesia, fed. sts.",18.03342933258975
gabon,-59.02383020795428
united kingdom,127.52513272121377
georgia,20.77513622144285
ghana,2.190832514455825
guinea,-89.45549215792092
"gambia, the",-42.62210626344612
guinea-bissau,-101.04167692561236
equatorial guinea,-118.63617422231835
greece,33.64451731508991
grenada,30.786847635526684
greenland,101.28285537692776
guatemala,-54.31367340649666
french guiana,90.1368421013599
guam,53.023938258681646
guyana,-25.638277285953574
"hong kong sar, china",123.18142540243403
honduras,-56.447813497817656
croatia,36.49457100210905
haiti,-105.72803601053351
hungary,50.773752570031824
indonesia,-26.987629989515778
india,-15.358464859134608
ireland,127.1749108142779
"iran, islamic rep.",-88.88285271999437
iraq,-132.97218125234136
iceland,139.06547800410283
israel,64.14951416760998
italy,48.87238117241191
jamaica,11.632249061085185
