Country Name,hospital_beds_per_1000,health_workers_pct,handwashing_pct,glbl_population_pct,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,Confirmed,Deaths,confirmed_cases_per_1000,Deaths_per_1000
Afghanistan,0.37638699923174007,0.38933162106225067,0.3749318049611581,18362258.21666667,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0.0,42.3,89.30934579439251,4134817.0,128968.0,225.18020121550168,7.0235370006365025
Angola,1.7184404254047476,0.38933162106225067,0.2570535917245197,13823228.033333333,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,37.937142857142874,25.0,89.30934579439251,164497.0,6959.0,11.900042421591536,0.5034279969352359
Albania,3.530558109281369,0.38933162106225067,0.4854848886185773,2708297.1666666665,6.7,41.4,58.0,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53.0,704767.0,20902.0,260.2251365449003,7.7177646003026625
Andorra,2.9054545402636367,0.38933162106225067,0.4854848886185773,51547.35,10.4,49.1,41.7,3834.7,4978.7,9.116766467065869,3.3,4.0,83.1,100.0,80.0,161490.0,8482.0,3132.847760360135,164.54774105749377
United Arab Emirates,2.129742102871412,0.38933162106225067,0.4854848886185773,3089064.6166666667,3.5,72.5,18.6,1323.1,2546.2,0.0,2.4,5.6,37.937142857142874,100.0,87.0,7719303.0,47212.0,2498.9127641912874,15.28359094376773
Argentina,4.676862533884811,0.38933162106225067,0.4854848886185773,32301197.516666666,7.5,74.4,15.8,955.2,1531.0,0.6,4.0,2.6,50.1,100.0,100.0,26975742.0,556068.0,835.1313286784846,17.2150893078525
Armenia,6.5389571244364175,0.38933162106225067,0.8737278891473476,2912376.9499999997,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76.0,4078733.0,76363.0,1400.4825165231446,26.220163567768935
Antigua and Barbuda,3.5178456836233427,0.38933162106225067,0.4854848886185773,70931.66666666667,4.3,60.6,32.2,623.1,976.4,0.0,2.8,3.1,14.0,84.10493827160494,79.0,9916.0,500.0,139.79651777532365,7.049037806339434
Australia,9.590851031364474,0.09499999999999999,0.4854848886185773,17103478.133333333,9.3,68.3,18.9,5002.4,4529.9,0.0,3.6,12.7,45.1,100.0,100.0,2348609.0,43490.0,137.3176252041242,2.5427576578848843
Austria,9.028124934433286,0.38933162106225067,0.4854848886185773,7844874.666666667,10.4,72.5,18.9,4688.3,5295.2,9.116766467065869,5.1,8.2,109.9,100.0,100.0,3613738.0,114074.0,460.64955191126063,14.541213830312309
Azerbaijan,8.615230013525556,0.38933162106225067,0.832413,7055823.399999999,6.9,20.0,78.9,268.2,1193.1,0.4,3.4,7.0,67.6,84.10493827160494,89.30934579439251,3202126.0,44469.0,453.82740163252953,6.302453658349783
Burundi,1.0335634157066367,0.07200000000000001,0.06097197554931969,5791651.333333333,6.2,29.1,30.5,18.5,50.3,38.6,0.1,0.7,0.4,83.5,89.30934579439251,36522.0,164.0,6.305973529483877,0.02831662173033667
Belgium,7.338461512789801,0.38933162106225067,0.4854848886185773,10145307.166666666,10.0,84.1,15.9,4149.4,4667.9,0.0,3.3,11.1,89.8,100.0,100.0,11119818.0,1538512.0,1096.0553305409203,151.6476509508674
Benin,0.6972123930870264,0.38933162106225067,0.059665709846863146,5708699.533333334,3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,89.30934579439251,186107.0,3353.0,32.60059474374391,0.5873491817920515
Burkina Faso,0.7151197515463937,0.109,0.09064542411801163,10016771.200000001,6.8,40.1,31.4,40.9,115.6,23.5,0.1,0.6,0.6,76.9,89.30934579439251,176599.0,8764.0,17.63033181790156,0.8749326329825722
Bangladesh,0.3600785712675892,0.29175,0.37676863739596245,103626129.81666666,2.4,18.0,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,89.30934579439251,25972145.0,349755.0,250.63316603591602,3.375162235806546
Bulgaria,8.21194505419211,0.38933162106225067,0.4854848886185773,8188234.433333334,8.2,50.6,48.0,612.5,1577.9,9.116766467065869,4.0,5.3,112.7,100.0,100.0,1310766.0,51196.0,160.07919786273175,6.252385714750318
Bahrain,2.725410468579967,0.38933162106225067,0.4854848886185773,619251.2833333333,4.9,61.4,28.0,1099.4,1866.3,0.0,0.9,2.5,14.4,84.10493827160494,88.0,4735832.0,15810.0,7647.674098481884,25.53083122395359
"Bahamas, The",3.6173981738076946,0.38933162106225067,0.4854848886185773,254637.69999999998,6.4,49.9,27.7,1835.2,1435.6,0.4,1.9,3.1,37.937142857142874,84.10493827160494,93.0,10.0,0.0,0.03927148258093755,0.0
Bosnia and Herzegovina,3.945621422358436,0.38933162106225067,0.970212126705479,3839761.4499999997,9.2,70.8,28.7,443.8,1123.4,0.2,2.0,6.3,32.3,84.10493827160494,89.0,1469646.0,48575.0,382.7440894798296,12.650525464283726
Belarus,12.177283331554696,0.38933162106225067,0.4854848886185773,9531756.816666668,6.3,61.4,35.8,318.0,1151.4,0.2,4.1,11.4,124.2,100.0,100.0,8558218.0,66747.0,897.8636535329567,7.002591577167614
Belize,1.9807982706995024,0.503,0.8210130309099811,207672.03333333333,6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96.0,100.0,49183.0,803.0,236.8301557535993,3.866673750485742
Bolivia,1.3426305504460516,0.11800000000000001,0.25337204613715675,7097296.316666666,6.9,65.7,28.0,213.0,496.3,3.2,1.6,0.7,33.9,92.0,89.30934579439251,8437355.0,373430.0,1188.812559535729,52.61581077333207
Brazil,2.9536196963006636,0.38933162106225067,0.4854848886185773,145198074.29999998,11.8,33.2,43.6,1015.9,1777.5,0.1,2.1,9.7,55.5,96.0,93.0,301632363.0,10657805.0,2077.3854230103934,73.40183436578815
Barbados,6.847863449768736,0.38933162106225067,0.8846935020278953,260412.7333333333,7.0,45.9,45.2,1163.8,1323.0,1.7,2.5,6.0,17.2,99.0,100.0,19932.0,1144.0,76.54003606070467,4.3930263522700255
Brunei Darussalam,2.9657170656725915,0.38933162106225067,0.4854848886185773,257786.1,2.3,94.9,5.1,630.6,1812.4,0.0,1.8,6.6,37.937142857142874,84.10493827160494,89.0,26481.0,400.0,102.72470082754656,1.5516740429371483
Bhutan,1.5741555518491286,0.38625,0.7943005370990097,494239.4166666667,3.5,74.0,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100.0,89.30934579439251,15341.0,0.0,31.039612549450982,0.0
Botswana,2.037316673147956,0.43450000000000005,0.4854848886185773,1285835.7666666666,5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88.0,89.30934579439251,107463.0,448.0,83.57443678719676,0.3484115247170109
Central African Republic,1.2898035069252651,0.2753333333333333,0.16507185675353012,2962206.3666666667,4.3,14.9,43.1,16.4,29.9,40.9,0.1,0.2,0.4,61.0,89.30934579439251,470950.0,5546.0,158.98622233060487,1.872253082164847
Canada,5.233333375721572,0.38933162106225067,0.4854848886185773,27518959.816666666,10.5,73.4,14.6,4458.2,4718.3,9.116766467065869,2.6,9.9,43.9,100.0,100.0,16880453.0,1229073.0,613.4117391230925,44.66277098364817
Switzerland,6.3733333079,0.38933162106225067,0.4854848886185773,6859264.983333333,12.2,62.8,29.6,9836.0,7867.4,9.116766467065869,4.2,17.3,94.8,100.0,100.0,6097406.0,324205.0,888.9299385306587,47.26526833235842
Channel Islands,10.906286716461151,0.38933162106225067,0.4854848886185773,139080.55000000002,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,38.7,84.10493827160494,89.30934579439251,1.0,0.0,0.007190077979990731,0.0
Chile,2.697649395460021,0.021,0.4854848886185773,13316349.266666666,8.5,58.5,34.8,1190.5,2002.0,0.0,1.1,0.9,59.3,99.0,100.0,39447383.0,956633.0,2962.3271521380293,71.83898385683176
China,2.3652173853922145,0.8295294117647058,0.4854848886185773,1087869666.6666665,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,84.10493827160494,4.0,18897448.0,940362.0,17.371058849267794,0.8644068575616749
Cote d'Ivoire,0.9089939165178285,0.38933162106225067,0.19275365243554202,12568388.066666668,4.4,25.8,40.1,67.6,162.6,15.0,0.2,0.9,2.8,72.0,89.30934579439251,1637533.0,11236.0,130.28981849653368,0.8939889459492129
Cameroon,2.0244665384335985,0.38933162106225067,0.059514358214485,12850043.75,4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66.0,89.30934579439251,1944989.0,45923.0,151.36049634072256,3.5737621515880056
"Congo, Dem. Rep.",2.4489480802007484,0.38933162106225067,0.042878222257830355,39951831.050000004,3.9,12.3,37.4,20.5,34.5,43.4,0.1,0.5,0.2,24.6,89.30934579439251,342086.0,7172.0,8.562461119037996,0.17951617764462885
"Congo, Rep.",3.273571217051947,0.38933162106225067,0.47796725672828333,2630677.4166666665,4.6,42.3,49.7,70.4,263.3,3.3,0.1,1.7,0.2,96.0,89.30934579439251,999803.0,25150.0,380.05533999179994,9.560275175003245
Colombia,1.4543164873043073,0.38933162106225067,0.6519107468879238,32972262.633333337,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98.0,38535785.0,1261840.0,1168.7334117326304,38.269742481195145
Comoros,2.57162503002884,0.38933162106225067,0.15557863507770625,443519.51666666666,7.6,14.6,73.1,59.0,115.8,10.8,0.2,0.9,37.937142857142874,87.3,89.30934579439251,40414.0,743.0,91.12113104680738,1.6752363133512616
Cabo Verde,1.867985698157734,0.139,0.4854848886185773,361656.14999999997,5.2,56.8,26.0,159.1,347.6,15.1,0.8,1.2,16.0,91.0,89.30934579439251,299337.0,3032.0,827.683975510993,8.383653920996506
Costa Rica,1.8429338550561247,0.38933162106225067,0.8379094560874668,3153060.35,7.6,74.8,22.1,888.9,1248.5,0.3,1.1,0.8,25.5,100.0,91.0,2568721.0,25388.0,814.6754945556307,8.051859838331353
Cuba,5.228131216764928,0.38933162106225067,0.8518028576430953,10113661.716666667,12.2,89.6,10.3,970.6,2457.7,0.1,8.2,7.8,100.9,100.0,98.0,436383.0,13716.0,43.14787385867067,1.3561853643371233
Cayman Islands,3.0,0.38933162106225067,0.4854848886185773,30303.36666666667,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,156.8,84.10493827160494,89.30934579439251,3.0,0.0,0.09899890111219765,0.0
Cyprus,4.261324209915964,0.38933162106225067,0.4854848886185773,827100.3833333333,6.9,42.2,44.9,1634.4,2270.8,1.2,2.0,5.3,84.4,100.0,86.0,188331.0,3148.0,227.70029345289265,3.806067635119583
Czech Republic,8.418181800843872,0.38933162106225067,0.4854848886185773,10207293.433333332,7.1,81.9,15.0,1321.6,2484.6,9.116766467065869,4.3,8.4,124.5,100.0,100.0,2692681.0,58020.0,263.7997053368405,5.6841708704608855
Germany,9.282142829897671,0.38933162106225067,0.4854848886185773,79551575.05,11.1,84.7,12.4,4714.3,5463.3,9.116766467065869,4.2,13.2,108.0,100.0,100.0,34935154.0,1409328.0,439.15100333390575,17.7159031623724
Djibouti,2.428682866693761,0.38933162106225067,0.4854848886185773,516716.76666666666,3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,84.10493827160494,89.30934579439251,646253.0,6480.0,1250.6909813841921,12.540719438624759
Dominica,3.707347040710592,0.38933162106225067,0.4854848886185773,70474.63333333335,5.3,64.3,29.1,419.4,580.7,5.4,1.1,5.9,11.3,84.10493827160494,100.0,3233.0,0.0,45.874662230712794,0.0
Denmark,5.725581404219469,0.38933162106225067,0.4854848886185773,5203806.016666667,10.4,84.1,13.7,5565.6,5093.0,9.116766467065869,4.5,10.3,69.0,100.0,98.0,2322901.0,96816.0,446.38500984860883,18.604844164044405
Dominican Republic,1.763392702733995,0.38933162106225067,0.5467618314907127,7050450.850000001,6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,37.937142857142874,88.0,56.9,7759376.0,155441.0,1100.5503286360758,22.04695888348757
Algeria,2.4014207220091923,0.38933162106225067,0.8336293603589223,25305290.683333334,6.6,67.7,30.9,260.4,998.2,0.0,1.8,2.2,12.1,100.0,89.30934579439251,3583765.0,162118.0,141.62117498853127,6.406486375861897
Ecuador,1.716711968180484,0.38933162106225067,0.8210484102433583,10375916.083333334,8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82.0,80.0,10873532.0,784560.0,1047.9587452972928,75.61356449867844
"Egypt, Arab Rep.",1.8868165320351333,0.38933162106225067,0.7862900818038449,57543388.23333333,4.6,29.3,62.0,131.0,516.3,1.0,0.8,1.4,50.1,99.4,95.0,9826917.0,494779.0,170.77404201769843,8.59836403782334
Eritrea,0.95,0.38933162106225067,0.4854848886185773,2150791.966666667,3.0,29.2,59.1,29.9,55.3,11.7,1.7127659574468086,4.13776595744681,0.4,84.10493827160494,89.30934579439251,30103.0,0.0,13.996239741705066,0.0
Spain,4.180555552905555,0.38933162106225067,0.4854848886185773,39224435.93333334,9.0,71.2,23.8,2389.9,3259.8,9.116766467065869,4.1,5.5,79.9,100.0,100.0,53020511.0,4724769.0,1351.7214394138073,120.45473408541336
Estonia,7.969477450462286,0.031,0.4854848886185773,1395453.9833333334,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65.0,100.0,100.0,354656.0,10541.0,254.150981856693,7.55381411776877
Ethiopia,0.8602133896920907,0.25460000000000005,0.034322279724091576,54674089.4,4.0,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,89.30934579439251,2872575.0,46569.0,52.539969691749455,0.8517562982951117
Finland,8.485714312962122,0.38933162106225067,0.4854848886185773,4985038.183333334,9.5,77.4,20.4,4117.3,4112.1,0.0,3.8,14.7,76.3,100.0,100.0,1180883.0,49746.0,236.8854473267809,9.979060976166178
Fiji,2.6485008577866997,0.38933162106225067,0.4854848886185773,697561.7166666667,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,84.10493827160494,100.0,3950.0,83.0,5.662581396919646,0.1189858875808432
France,9.057500052450346,0.027999999999999997,0.4854848886185773,58000256.43333334,11.5,82.9,9.8,4263.4,4782.3,0.0,3.2,9.7,58.6,100.0,100.0,39837436.0,4824891.0,686.8493080852143,83.1874080685458
Faroe Islands,3.9737088135923577,0.38933162106225067,0.4854848886185773,44121.049999999996,6.715053763440857,52.915053763440866,32.66182795698923,1037.0048387096779,1412.4666666666672,9.116766467065869,1.7127659574468086,4.13776595744681,37.937142857142874,84.10493827160494,89.30934579439251,10.0,0.0,0.22664918445957205,0.0
Gabon,4.28149878637643,0.38933162106225067,0.4854848886185773,1060018.1,3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,37.937142857142874,89.6,89.30934579439251,811280.0,5524.0,765.3454219319462,5.211231770476371
United Kingdom,4.789285741531143,0.38933162106225067,0.4854848886185773,58321879.666666664,9.8,80.2,15.1,3958.0,4177.8,0.0,2.8,8.3,133.3,100.0,100.0,47036878.0,6441727.0,806.5048360724131,110.45129266781348
Georgia,6.313900038399746,0.38933162106225067,0.4854848886185773,4180864.233333333,8.4,36.6,55.6,308.0,797.2,2.3,5.1,4.1,130.4,100.0,98.0,185916.0,2323.0,44.46831794195151,0.5556267485270411
Ghana,1.1350617274583283,0.4957142857142857,0.19614211355382388,16003370.933333332,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,37.937142857142874,70.5,89.30934579439251,3726481.0,21520.0,232.85600362097048,1.3447166906052344
Guinea,0.7054096917362732,0.517,0.11607766926773606,6884461.25,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,37.937142857142874,62.0,89.30934579439251,923469.0,5595.0,134.1381651323842,0.8126997591859494
